"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252686,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795426,0.0724172014757535,44.215397484344,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106351,-40.2016026751214,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024162,0.0538449075112168,-38.2511822462051,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758945,-43.7365579185383,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533338,-37.5503720316622,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655249,48.4207795565295,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812924,38.7674871448939,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279801,47.1058093860443,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609052,-43.9933323216711,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921961,41.0015774395551,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595169,40.9741732137196,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567064,0.0757850351652615,-42.1726838115351,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761977,0.0543254349135801,38.283411093316,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461241,-38.3261828997425,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178477,44.0060249686279,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505494949135,0.0435953844405867,44.7421102014084,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931715,38.5901202167616,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075095,44.5945224172385,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845909,0.0581377318678346,-41.3963130507094,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.069622103454464,-42.0008730342047,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638749,-52.9712609892324,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.5345304131356,0.0670975518000999,37.7738135764862,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895967,-37.3387475440781,3.86082291025464e-305,2.37086700213887e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294312,37.2705374042546,4.92673245748922e-304,2.90440731833905e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075192,36.9471519148958,8.09231108271275e-299,4.58709541296233e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246632,36.8352639561642,5.03520683659291e-297,2.74847697621135e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225741,36.6909753183982,1.01726618393406e-294,5.35445322100722e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898181,-36.4661327225911,3.81873143498958e-291,1.94070565134057e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938238,0.121636384406067,36.4540313413097,5.93856217976624e-291,2.91741764684649e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307422,-36.2808238848642,3.24649821954064e-288,1.54344808901903e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941963,36.27070294323,4.6879735325042e-288,2.15910481006397e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758647,-36.2228494299791,2.65984835140199e-287,1.18790439402917e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027572,36.1446992488036,4.50689778645807e-286,1.95360763461233e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729393,-36.1399178936197,5.35778353377324e-286,2.21230320942358e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304153759,0.0909710037522485,36.139680842604,5.40391610389802e-286,2.21230320942358e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694994,0.0487932042517473,-35.7887108200607,1.65485249290542e-280,6.59168001092976e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094681,35.323680971316,2.54305707417982e-273,9.86304609454266e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.065396000427473,-35.2491412924544,3.5364685017541e-272,1.33642237894492e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584698132,0.0743747823896397,-35.1930555341825,2.5536798153827e-271,9.40903327977757e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770559,0.0806594353569988,35.177968394486,4.34407225856355e-271,1.56153504748072e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628332,1.51368681107825e-270,5.31159910039793e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087112,0.0861136723498833,-34.9774903180657,4.94847109789674e-268,1.69605969862331e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.2376061941492e-267,4.14541820212975e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242036e-266,2.21906594789003e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630842001,34.8299159162918,8.57647267412127e-266,2.7478272667652e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182844,34.2452170379763,5.13836406687271e-257,1.61125977909723e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.1765209895984,0.0928701287754388,-34.2039042206915,2.11545038713092e-256,6.49531412615324e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807063,-33.8997479311372,6.71887893085982e-252,2.02087423842882e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004919,33.7243085225038,2.5454511799239e-249,7.50297189794368e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797668,33.6829252261059,1.02810293769919e-248,2.97101590113935e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
